student_id,attendance_pct,internal_marks,assignment_submission_rate,prev_semester_cgpa,lab_attendance_pct,quiz_avg_score,library_visits_per_month,extracurricular_participation,active_backlogs,dept_enc,semester
STU40953,-1.2441921,-2.162626,-1.6843832,-1.4068654,-0.5555457,-1.165557,-0.9071687,0.0,-0.05475748,0.0,-0.00022353107
STU73857,-2.1402516,1.032143,-2.0773995,-2.1396945,-0.68578434,-0.7310778,-1.1320413,0.0,0.018438641,0.0,-0.00022353107
STU20155,0.647171,2.100388,1.7906872,1.6706916,0.58840275,-0.7686739,0.74369925,0.0,0.0403481,0.0,-0.00080849073
STU94085,-1.3235025,-2.5552928,-0.72627133,-1.7467232,-0.4646567,-1.2631437,-0.9224044,0.0,-0.05475748,0.0,-0.00022353107
STU58434,0.74140745,1.9067003,1.5656617,1.7215044,0.59479725,0.8163149,0.6017489,0.0,0.039127603,0.0,-0.00015444757
STU95626,-1.2600834,-2.1671484,-1.6811999,-1.509187,-0.55884576,-1.1758963,-0.77397794,0.0,-0.05475748,0.0,-0.00022353107
STU86271,-1.3826106,-2.491438,-1.9774489,-1.6469426,-0.39185303,0.39349225,-0.79844743,0.0,0.027344873,0.0,-5.5702996e-05
STU45058,-1.222831,-2.3090675,-1.8379716,-0.9226951,0.0030272696,-1.2662255,-0.94382006,0.0,0.02683885,0.0,-0.00022353107
STU21725,-1.332849,-2.3901556,-1.9120485,-1.9633245,-0.112095565,0.4251189,-0.77888566,0.0,-0.05358212,0.0,-5.5702996e-05
STU27875,-1.5198071,-2.7490513,-2.2632997,1.2300541,0.023039967,-1.5006615,-0.30845726,0.0,-0.05273444,0.0,0.00011923914
STU44993,0.19882837,-2.5008678,-1.8202533,-1.9518936,0.18125297,-1.3556186,-0.9886978,0.0,-0.051257696,0.0,-0.00022353107
STU19880,-0.0885325,2.046208,1.7352725,1.962394,0.25726932,1.121653,-0.17678797,0.0,0.08828725,0.0,-3.242865e-05
STU17665,0.74313277,2.3279061,-0.348775,2.0980747,0.54969406,1.0573075,0.71839345,0.0,0.032226652,0.0,-0.00015444757
STU43901,-1.2647605,-2.297966,-0.966911,-2.0115914,-0.45206898,-1.2310091,-0.90192676,0.0,-0.055396844,0.0,0.00031117623
STU48652,-0.7385513,-2.323772,-1.7114319,-1.8094071,-0.3855133,-1.2596182,-0.89976317,0.0,0.0561745,0.0,-0.00022353107
STU25194,1.1810524,3.0840204,-0.94077104,-1.850089,1.1964544,0.9125648,0.7026659,0.0,0.034150183,0.0,-0.00044044442
STU80373,-1.2666037,-2.1966636,-1.6538838,-1.7869643,-0.56251603,-1.1886531,-0.31251264,0.0,0.02680302,0.0,0.00031117623
STU96832,-1.2015684,-2.0501852,-1.6029907,-1.7027545,-0.5418671,-1.1547033,-0.87216514,0.0,-0.055396844,0.0,0.00031117623
STU79533,-1.3075581,-2.159947,-1.727699,-1.7925867,-0.5787891,-0.6594763,-0.8974766,0.0,-0.05756366,0.0,-0.00022353107
STU44282,-0.7770632,-2.6380048,-1.9008471,-1.9583466,-0.40640748,-0.31736574,-0.9224208,0.0,-0.055925652,0.0,-5.5702996e-05
STU62855,-1.397933,-2.5190198,-1.8728343,-1.5941057,-0.6161843,-0.6596713,-0.32145056,0.0,0.074033216,0.0,-0.00022353107
STU66272,-1.4275019,-2.5729318,-1.1028388,-2.2938848,-0.46762496,0.68089896,-0.76499367,0.0,0.026705509,0.0,7.75438e-05
STU10167,-1.3986232,-2.8325598,0.35953715,-1.950783,-0.41867852,-1.4901451,-0.32563293,0.0,0.07451068,0.0,0.00031117623
STU34385,-2.1102228,1.2050304,-2.605742,1.358084,-0.81120723,-1.6440438,-1.3084005,0.0,-0.06129467,0.0,-8.565453e-05
STU62994,0.7717096,2.1886108,1.805217,1.2053286,0.6280102,-0.22410962,0.7322181,0.0,0.081276625,0.0,-0.00015444757
